"pid","label","parent","id"
info:fedora/macrepo:10133,Kladanj,info:fedora/macrepo:9916,macrepo:10133
info:fedora/macrepo:10134,Zvornik,info:fedora/macrepo:9916,macrepo:10134
info:fedora/macrepo:10135,Krupanj,info:fedora/macrepo:9916,macrepo:10135
info:fedora/macrepo:10136,Valjevo,info:fedora/macrepo:9916,macrepo:10136
info:fedora/macrepo:10137,Kragujevac,info:fedora/macrepo:9916,macrepo:10137
info:fedora/macrepo:10138,Petrovac,info:fedora/macrepo:9916,macrepo:10138
info:fedora/macrepo:10139,D. Milanovac,info:fedora/macrepo:9916,macrepo:10139
info:fedora/macrepo:10140,Negotin,info:fedora/macrepo:9916,macrepo:10140
info:fedora/macrepo:10141,Dugi Otok,info:fedora/macrepo:9916,macrepo:10141
info:fedora/macrepo:10142,irje,info:fedora/macrepo:9916,macrepo:10142
info:fedora/macrepo:10143,ibenik,info:fedora/macrepo:9916,macrepo:10143
info:fedora/macrepo:10144,Split,info:fedora/macrepo:9916,macrepo:10144
info:fedora/macrepo:10145,Livno,info:fedora/macrepo:9916,macrepo:10145
info:fedora/macrepo:10146,Prozor,info:fedora/macrepo:9916,macrepo:10146
info:fedora/macrepo:10147,Konjic,info:fedora/macrepo:9916,macrepo:10147
info:fedora/macrepo:10148,Sarajevo,info:fedora/macrepo:9916,macrepo:10148
info:fedora/macrepo:10149,Viegrad,info:fedora/macrepo:9916,macrepo:10149
info:fedora/macrepo:10150,Vardiste,info:fedora/macrepo:9916,macrepo:10150
info:fedora/macrepo:10151,Uice,info:fedora/macrepo:9916,macrepo:10151
info:fedora/macrepo:10152,Cacak,info:fedora/macrepo:9916,macrepo:10152
info:fedora/macrepo:10153,Kruevac,info:fedora/macrepo:9916,macrepo:10153
info:fedora/macrepo:10154,Paracin,info:fedora/macrepo:9916,macrepo:10154
info:fedora/macrepo:10155,Zajecar,info:fedora/macrepo:9916,macrepo:10155
info:fedora/macrepo:10156,Kula,info:fedora/macrepo:9916,macrepo:10156
info:fedora/macrepo:10157,Sv. Andrija-Jabuka,info:fedora/macrepo:9916,macrepo:10157
info:fedora/macrepo:10158,Vis,info:fedora/macrepo:9916,macrepo:10158
info:fedora/macrepo:10159,Omi,info:fedora/macrepo:9916,macrepo:10159
info:fedora/macrepo:10160,Makarska,info:fedora/macrepo:9916,macrepo:10160
info:fedora/macrepo:10161,Mostar,info:fedora/macrepo:9916,macrepo:10161
info:fedora/macrepo:10162,Nevesinje,info:fedora/macrepo:9916,macrepo:10162
info:fedora/macrepo:10163,Gacko,info:fedora/macrepo:9916,macrepo:10163
info:fedora/macrepo:10164,abljak,info:fedora/macrepo:9916,macrepo:10164
info:fedora/macrepo:10165,Pljevlja,info:fedora/macrepo:9916,macrepo:10165
info:fedora/macrepo:10166,Sjenica,info:fedora/macrepo:9916,macrepo:10166
info:fedora/macrepo:10167,Novi-Pazar,info:fedora/macrepo:9916,macrepo:10167
info:fedora/macrepo:10168,Kurumlija,info:fedora/macrepo:9916,macrepo:10168
info:fedora/macrepo:10169,Prokuplje,info:fedora/macrepo:9916,macrepo:10169
info:fedora/macrepo:10170,Nis,info:fedora/macrepo:9916,macrepo:10170
info:fedora/macrepo:10170,Nis,info:fedora/macrepo:9916,
info:fedora/macrepo:10171,Pirot,info:fedora/macrepo:9916,macrepo:10171
info:fedora/macrepo:10172,Suac,info:fedora/macrepo:9916,macrepo:10172
info:fedora/macrepo:10173,Korcula,info:fedora/macrepo:9916,macrepo:10173
info:fedora/macrepo:10174,Mljet,info:fedora/macrepo:9916,
info:fedora/macrepo:10174,Mljet,info:fedora/macrepo:9916,macrepo:10174
info:fedora/macrepo:10175,Dubrovnik,info:fedora/macrepo:9916,macrepo:10175
info:fedora/macrepo:10176,Trebinje,info:fedora/macrepo:9916,macrepo:10176
info:fedora/macrepo:10179,Nikic,info:fedora/macrepo:9916,macrepo:10179
info:fedora/macrepo:10180,Kolasin,info:fedora/macrepo:9916,macrepo:10180
info:fedora/macrepo:10181,Pec,info:fedora/macrepo:9916,macrepo:10181
info:fedora/macrepo:10182,Metohija,info:fedora/macrepo:9916,macrepo:10182
info:fedora/macrepo:10183,Pritina,info:fedora/macrepo:9916,macrepo:10183
